;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
0;masculino;comercio;fabrica de;prado;3;10.0;5000000;microempresarial;2018-07-13
1;femenino;servicio;recreativo educativo;barrio caicedo;1;9.0;6000000;microempresarial;2017-10-30
2;femenino;comercio;tienda;aranjuez;2;4.0;7300000;microempresarial;2017-08-03
3;masculino;comercio;variedades;cabecera san cristobal;3;60.0;7000000;microempresarial;2017-11-20
4;femenino;comercio;fabrica de;robledo;2;7.0;5000000;microempresarial;2017-02-23
5;femenino;comercio;variedades;picachito;1;6.0;7000000;microempresarial;2017-05-31
6;femenino;industria;fabrica de;guayabal;3;15.0;2000000;microempresarial;2016-02-20
7;femenino;comercio;tienda;carpinelo;1;1.0;3300000;microempresarial;2017-02-14
8;masculino;comercio;variedades;belalcazar;2;5.0;7800000;microempresarial;2018-05-07
9;femenino;comercio;variedades;manrique central no. 1;1;4.0;7800000;microempresarial;2018-05-03
10;femenino;industria;fabrica de;manrique central no. 2;2;3.0;4500000;microempresarial;2017-02-28
11;masculino;agropecuaria;sembrados;santa elena central;2;90.0;13000000;agropecuaria;2016-12-23
12;femenino;comercio;comidas rapidas;andalucia;2;2.0;7800000;microempresarial;2018-04-12
13;masculino;industria;fabrica de;san javier no.1;1;13.0;4000000;microempresarial;2018-08-23
14;masculino;servicio;variedades;belencito;2;13.0;7800000;microempresarial;2018-07-30
15;masculino;comercio;miscelanea;centro admtivo;3;10.0;1000000;microempresarial;2018-02-14
16;femenino;comercio;variedades;cabecera san antonio ;2;80.0;7000000;microempresarial;2017-11-16
17;femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;8000000;microempresarial;2019-04-29
18;masculino;comercio;tienda;villa hermosa;3;8.0;5000000;microempresarial;2018-06-27
19;femenino;comercio;venta de calzado;playon de los ;2;2.0;7000000;microempresarial;2017-02-27
20;femenino;comercio;productos de belleza;buenos aires;3;9.0;7300000;microempresarial;2017-07-24
21;masculino;comercio;tienda;manrique central no. 1;2;4.0;6000000;microempresarial;2018-09-14
22;femenino;comercio;tienda;popular;2;1.0;6000000;microempresarial;2018-10-11
23;femenino;comercio;almacen de ropa en;robledo;2;7.0;6000000;microempresarial;2018-02-15
24;femenino;comercio;variedades;tricentenario;3;5.0;4000000;microempresarial;2017-11-20
25;masculino;servicio;barberia;calasanz;2;12.0;7377000;microempresarial;2017-09-26
26;masculino;industria;fabrica de;aranjuez;3;4.0;6500000;microempresarial;2016-10-24
27;femenino;comercio;comidas rapidas;buenos aires;2;9.0;1500000;microempresarial;2019-06-28
28;masculino;comercio;variedades;andalucia;2;2.0;7800000;microempresarial;2018-08-17
29;femenino;servicio;peluqueria;pedregal;3;6.0;7300000;microempresarial;2017-10-27
30;femenino;servicio;jardineria;la francia;2;2.0;7377000;microempresarial;2017-06-12
31;femenino;comercio;variedades;santa cruz;2;2.0;4000000;microempresarial;2017-06-14
32;femenino;comercio;tienda;san javier no.1;2;13.0;7800000;microempresarial;2018-02-06
